component;property;de;en;Dev-status
SHOGun.client.view.grid.ApplicationState;config.data.noSelectionAvailableMsg;Keine Selektion vorhanden!;No selection available!;OK
SHOGun.client.view.grid.ApplicationState;config.data.loadStateSuccessMsg;Arbeitsstand erfolgreich geladen.;Successfully loaded the application state.;OK
SHOGun.client.view.grid.ApplicationState;config.data.loadStateFailureMsg;Fehler beim Laden des Arbeitsstands!;Could not load the application state!;OK
SHOGun.client.view.grid.ApplicationState;config.data.createStatePromptMsg;Bitte geben Sie eine Kurzbeschreibung für den neuen Arbeitsstand ein:;Please enter a short description for the application state to create:;OK
SHOGun.client.view.grid.ApplicationState;config.data.createStateSuccessMsg;Arbeitsstand erfolgreich angelegt.;Successfully created the application state.;OK
SHOGun.client.view.grid.ApplicationState;config.data.createStateFailureMsg;Fehler beim Anlegen des Arbeitsstands!;Could not create the application state!;OK
SHOGun.client.view.grid.ApplicationState;config.data.deleteStateConfirmMsg;Den ausgewählten Arbeitsstand wirklich löschen?;Do you really want to delete the selected application state?;OK
SHOGun.client.view.grid.ApplicationState;config.data.deleteStateSuccessMsg;Arbeitsstand erfolgreich gelöscht.;Successfully removed the application state.;OK
SHOGun.client.view.grid.ApplicationState;config.data.deleteStateFailureMsg;Fehler beim Löschen des Arbeitsstands!;Could not delete the application state!;OK
SHOGun.client.view.grid.ApplicationState;config.data.updateStatePromptMsg;Den ausgewählten Arbeitsstand wirklich überschreiben?;Do you really want to overwrite the selected application state?;OK
SHOGun.client.view.grid.ApplicationState;config.data.updateStateSuccessMsg;Arbeitsstand erfolgreich aktualisiert.;Successfully updated the application state.;OK
SHOGun.client.view.grid.ApplicationState;config.data.updateStateFailureMsg;Fehler bei Aktualisierung des Arbeitsstands!;Could not update the application state!;OK
SHOGun.client.view.grid.MultiSearchGazetteerGrid;config.data.title;Gazetteer Suche;Gazetteer Search; -
SHOGun.client.view.grid.MultiSearchGazetteerGrid;config.data.hideToolTooltip;Gazetteer Suche verbergen;Hide Gazetteer Search; -
SHOGun.client.view.grid.ObjectSearchGrid;config.data.title;Objektsuche;Object Search; -
SHOGun.client.view.grid.ObjectSearchGrid;config.data.hideToolTooltip;Objektsuche verbergen;Hide Object Search; -
SHOGun.client.view.panel.document.DocumentTree;config.data.title;Dokumentenbaum;Document tree;OK
SHOGun.client.view.panel.document.DocumentTree;config.data.addNewFolderText;Neuen Ordner hinzufügen;Add new folder;OK
SHOGun.client.view.panel.document.DocumentTree;config.data.folderNameText;Ordnername;Folder name;OK
SHOGun.client.view.panel.document.DocumentTree;config.data.folderNamePromptText;Ordnername eingeben;Enter folder name;OK
SHOGun.client.view.panel.document.DocumentTree;config.data.addNewLeafText;Neues Dokument hinzufügen;Add new document;OK
SHOGun.client.view.panel.document.DocumentTree;config.data.leafNameText;Dokumentname;Document name;OK
SHOGun.client.view.panel.document.DocumentTree;config.data.leafNamePromptText;Dokumentname hinzufügen;Enter document name;OK
SHOGun.client.view.panel.document.DocumentTree;config.data.addDocumentText;PDF Datei anhängen/ersetzen;Attach/replace PDF document;OK
SHOGun.client.view.panel.document.DocumentTree;config.data.renameFolderText;Ordner umbenennen;Rename folder;OK
SHOGun.client.view.panel.document.DocumentTree;config.data.folderNewNamePromptText;Neuen Ordnernamen eingeben;Enter new folder name;OK
SHOGun.client.view.panel.document.DocumentTree;config.data.deleteFolderText;Ordner löschen;Delete folder;OK
SHOGun.client.view.panel.document.DocumentTree;config.data.warningTitle;Achtung;Warning;OK
SHOGun.client.view.panel.document.DocumentTree;config.data.deleteFolderWarnMsgText;Alle enthaltenen Dokumente werden gelöscht. Sind Sie sicher?;All contained documents will be also deleted. Are you sure?;OK
SHOGun.client.view.panel.document.DocumentTree;config.data.renameLeafText;Dokument umbenennen;Rename document;OK
SHOGun.client.view.panel.document.DocumentTree;config.data.leafNewNamePromptText;Neuen Dokumentennamen eingeben;Enter new document name;OK
SHOGun.client.view.panel.document.DocumentTree;config.data.deleteLeafText;Dokument löschen;Delete document;OK
SHOGun.client.view.panel.document.DocumentTree;config.data.deleteLeafWarnMsgText;Dieses Dokument wird gelöscht. Sind Sie sicher?;This document will be removed from tree. Are you sure?;OK
SHOGun.client.view.panel.document.DocumentTree;config.data.dragText;Drag and Drop zum Umsortieren;Drag and drop to reorganize; -
SHOGun.client.view.panel.LegendTree;config.data.title;Legende;Legend;OK
SHOGun.client.view.panel.MapMetaInformation;config.data.srsPrefix;Bezugssystem;Reference System;OK
SHOGun.client.view.panel.MapMetaInformation;config.data.mousePositionLabel;Zeigerposition;Mouse Position;OK
SHOGun.client.view.panel.MeasurementToolsPanel;config.data.lineTooltip;Strecke messen;Distance measurements;OK
SHOGun.client.view.panel.MeasurementToolsPanel;config.data.areaTooltip;Fläche messen;Area measurements;OK
