component;property;de;en;Dev-status
SHOGun.login.view.authentication.Dialog;config.data.passwordUpdateFailureTitle;Fehler;Error; -
SHOGun.login.view.authentication.Dialog;config.data.passwordUpdateFailureMsg;Fehler beim Ändern des Passworts;Error updating the password; -
SHOGun.login.view.authentication.Dialog;config.data.resendRegistrationSuccessTitle;Information;Information; -
SHOGun.login.view.authentication.Dialog;config.data.resendRegistrationSuccessMsg;Die Registrierungsmail wurde an Ihre Email verschickt;The registration mail has been sent to your account; -
SHOGun.login.view.authentication.Dialog;config.data.resendRegistrationFailureTitle;Fehler;Error; -
SHOGun.login.view.authentication.Dialog;config.data.resendRegistrationFailureMsg;Fehler beim Versenden der Mail. Wurde Ihr Account bereits aktiviert?;Error sending the mail to your account. Has your account already be activated?; -
Ext.Date;monthNames[];Januar,Februar,März,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember;January,February,March,April,May,June,July,August,September,October,November,December; -
Ext.Date;defaultFormat;d.m.Y;m/d/Y; -
Ext.Date;monthNumbers.Jan;0;0; -
Ext.Date;monthNumbers.Feb;1;1; -
Ext.Date;monthNumbers.Mar;2;2; -
Ext.Date;monthNumbers.Apr;3;3; -
Ext.Date;monthNumbers.Mai;4;4; -
Ext.Date;monthNumbers.Jun;5;5; -
Ext.Date;monthNumbers.Jul;6;6; -
Ext.Date;monthNumbers.Aug;7;7; -
Ext.Date;monthNumbers.Sep;8;8; -
Ext.Date;monthNumbers.Okt;9;9; -
Ext.Date;monthNumbers.Nov;10;10; -
Ext.Date;monthNumbers.Dez;11;11; -
Ext.Date;dayNames[];Sonntag,Montag,Dienstag,Mittwoch,Donnerstag,Freitag,Samstag;Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday; -
Ext.form.Basic;waitTitle;Bitte warten...;Please Wait...; -
Ext.form.CheckboxGroupExt.form.CheckboxGroup;blankText;Du musst mehr als einen Eintrag aus der Gruppe auswählen;You must select at least one item in this group; -
Ext.form.field.Base;invalidText;Der Wert des Feldes ist nicht korrekt;The value in this field is invalid; -
Ext.form.field.ComboBox;valueNotFoundText; -;;
Ext.form.field.ComboBox;defaultListConfig.loadingText;Lade Daten ...;Loading...; -
Ext.form.field.Date;disabledDaysText;nicht erlaubt;Disabled; -
Ext.form.field.Date;disabledDatesText;nicht erlaubt;Disabled; -
Ext.form.field.Date;minText;Das Datum in diesem Feld muss nach dem {0} liegen;The date in this field must be after {0}; -
Ext.form.field.Date;maxText;Das Datum in diesem Feld muss vor dem {0} liegen;The date in this field must be before {0}; -
Ext.form.field.Date;invalidText;{0} ist kein gültiges Datum - es muss im Format {1} eingegeben werden;{0} is not a valid date - it must be in the format {1}; -
Ext.form.field.Date;format;d.m.Y;m/d/y; -
Ext.form.field.Date;altFormats;j.n.Y|j.n.y|j.n.|j.|j/n/Y|j/n/y|j-n-y|j-n-Y|j/n|j-n|dm|dmy|dmY|j|Y-n-j|Y-m-d;m/d/Y|m-d-y|m-d-Y|m/d|m-d|md|mdy|mdY|d|Y-m-d; -
Ext.form.field.Date;startDay;1;1; -
Ext.form.field.HtmlEditor;createLinkText;Bitte geben Sie die URL für den Link ein:;Please enter the URL for the link:; -
Ext.form.field.HtmlEditor;buttonTips.bold.title;Fett (Ctrl+B);Bold (Ctrl+B); -
Ext.form.field.Number;minText;Der Mindestwert für dieses Feld ist {0};The minimum value for this field is {0}; -
Ext.form.field.Number;maxText;Der Maximalwert für dieses Feld ist {0};The maximum value for this field is {0}; -
Ext.form.field.Number;nanText;{0} ist keine Zahl;{0} is not a valid number; -
